日期,契約名稱,身份別,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額交易口數,多空淨額契約金額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空淨額未平倉口數,多空淨額未平倉契約金額
2023/01/17,MTX,投信,36,26852,35,26127,1,725,90,67102,12,8946,78,58156
2023/01/17,NQF,自營商,5,2894,19,11007,-14,-8113,1,578,702,405932,-701,-405354
2023/01/17,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/17,NQF,外資,543,314891,526,305015,17,9876,63,36817,1132,654800,-1069,-617983
2023/01/30,TX,自營商,14205,43588157,17049,52346096,-2844,-8757939,10822,33446397,5797,17917728,5025,15528669
2023/01/30,TX,投信,2237,6907887,449,1384268,1788,5523619,10112,31260237,15995,49446943,-5883,-18186706
2023/01/30,TE,投信,6,17317,6,17329,0,-12,145,421457,0,0,145,421457
2023/01/30,TE,自營商,425,1225748,434,1251374,-9,-25626,251,729459,215,624919,36,104540
2023/01/30,TX,外資,61232,187462698,60146,184303292,1086,3159406,32100,99233073,24001,74192341,8099,25040732
2023/01/30,MTX,自營商,16135,12314862,16475,12593227,-340,-278365,8469,6528692,2690,2077468,5779,4451224
2023/01/30,TE,外資,1528,4415141,1628,4708862,-100,-293720,1071,3112920,288,837101,783,2275819
2023/01/30,MTX,外資,76626,58456520,71944,54942167,4682,3514353,5383,4159828,2406,1859422,2977,2300406
2023/01/30,MTX,投信,8,6161,9,6937,-1,-776,89,68784,12,9274,77,59510
2023/01/30,NQF,自營商,151,91313,55,32006,96,59307,1,609,606,368751,-605,-368142
2023/01/31,TX,投信,127,389663,730,2232084,-603,-1842421,9915,30276444,16401,50082094,-6486,-19805650
2023/01/31,TX,外資,47844,147259088,53353,164246793,-5509,-16987705,30176,92143765,27587,84234166,2589,7909599
2023/01/30,NQF,外資,946,557841,765,449925,181,107917,48,29497,936,569630,-888,-540133
2023/01/30,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/31,TX,自營商,8112,24923983,7973,24506854,139,417129,11465,34999254,6334,19336555,5131,15662699
2023/01/31,TE,自營商,275,792034,248,714330,27,77704,284,810770,241,688055,43,122715
2023/01/31,TE,投信,0,0,0,0,0,0,145,413975,0,0,145,413975
2023/01/31,MTX,自營商,8292,6373860,12472,9581779,-4180,-3207920,7124,5425044,5393,4114339,1731,1310705
2023/01/31,TE,外資,1040,2996126,1152,3319846,-112,-323720,1074,3066245,403,1150565,671,1915680
2023/01/31,MTX,投信,1,771,2,1527,-1,-756,90,68706,14,10688,76,58018
2023/01/31,MTX,外資,62406,48061284,74365,57265785,-11959,-9204501,2482,1894604,11460,8747879,-8978,-6853275
2023/01/31,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/31,NQF,自營商,21,12601,14,8395,7,4206,16,9565,614,367049,-598,-357484
2023/01/31,NQF,外資,991,598059,1238,746783,-247,-148724,37,22337,1172,700692,-1135,-678355
2023/02/01,TX,投信,195,600036,260,799415,-65,-199380,9740,29964136,16291,50117632,-6551,-20153496
2023/02/01,TX,自營商,8815,27043924,8194,25130002,621,1913923,12028,36992056,6349,19526687,5679,17465369
2023/02/01,TX,外資,45520,139600188,43875,134548982,1645,5051207,29376,90370841,25142,77341659,4234,13029182
2023/02/01,TE,投信,0,0,0,0,0,0,145,418064,0,0,145,418064
2023/02/01,TE,自營商,291,835995,198,568782,93,267213,340,980152,201,579492,139,400660
2023/02/01,TE,外資,624,1793795,694,1994852,-70,-201057,1057,3047520,456,1314739,601,1732781
2023/02/01,MTX,自營商,10724,8220069,9732,7457643,992,762426,7815,5995110,4854,3730673,2961,2264437
2023/02/01,MTX,投信,0,0,0,0,0,0,90,69219,14,10767,76,58452
2023/02/01,MTX,外資,77916,59723211,69222,53053026,8694,6670185,5169,3975320,5373,4132031,-204,-156711
2023/02/01,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/02/01,NQF,外資,1232,741779,898,539736,334,202043,100,61134,901,545763,-801,-484629
2023/02/01,NQF,自營商,10,6039,17,10284,-7,-4246,17,10296,622,376714,-605,-366418
2023/02/02,TX,投信,744,2318592,53,165056,691,2153536,10176,31708416,16036,49968176,-5860,-18259760
2023/02/02,TX,自營商,9512,29491979,9086,28175057,426,1316923,12701,39558077,6669,20773380,6032,18784697
2023/02/02,TX,外資,60754,188154118,56579,175212824,4175,12941294,32174,100252482,23765,74041867,8409,26210615
2023/02/02,TE,投信,0,0,0,0,0,0,145,426619,0,0,145,426619
2023/02/02,MTX,投信,1,779,0,0,1,779,91,70889,14,10906,77,59983
2023/02/02,MTX,外資,103339,79979390,97859,75707276,5480,4272114,7327,5707593,2051,1597485,5276,4110108
2023/02/02,MTX,自營商,11568,8955627,10821,8377592,747,578035,8458,6571985,4458,3469124,4000,3102861
2023/02/02,TE,外資,978,2861994,1217,3565783,-239,-703789,985,2898027,623,1832991,362,1065036
2023/02/02,TE,自營商,349,1019258,410,1199107,-61,-179850,359,1056015,281,826628,78,229387
2023/02/02,NQF,自營商,116,72431,30,18570,86,53861,20,12535,539,337818,-519,-325283
2023/02/03,TX,自營商,7730,24071706,8438,26276105,-708,-2204400,12478,38865833,7139,22239793,5339,16626040
2023/02/03,TX,投信,107,333533,237,738553,-130,-405020,10046,31305345,16036,49971383,-5990,-18666038
2023/02/02,NQF,外資,1731,1062980,1536,943027,195,119953,51,32288,657,411775,-606,-379487
2023/02/03,TX,外資,54413,169560134,53495,166713992,918,2846142,31862,99286825,22535,70214293,9327,29072532
2023/02/02,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/02/03,TE,投信,0,0,3,8842,-3,-8842,142,418190,0,0,142,418190
2023/02/03,TE,外資,759,2232285,774,2276893,-15,-44609,992,2921382,645,1899525,347,1021857
2023/02/03,MTX,自營商,9525,7411382,10097,7853029,-572,-441647,7892,6132721,4524,3518239,3368,2614482
2023/02/03,TE,自營商,230,677188,226,664937,4,12251,338,995096,251,739003,87,256093
2023/02/03,MTX,外資,89143,69450206,91871,71564841,-2728,-2114635,5729,4463042,3181,2477729,2548,1985313
2023/02/03,MTX,投信,0,0,0,0,0,0,91,70894,14,10907,77,59987
2023/02/03,NQF,自營商,9,5759,87,55235,-78,-49476,17,10787,614,389583,-597,-378796
2023/02/03,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/02/03,NQF,外資,2502,1593051,2049,1304017,453,289034,308,196134,461,292645,-153,-96511
2023/02/06,TX,自營商,9481,29337632,9089,28126559,392,1211073,13112,40384681,7572,23323174,5540,17061507
2023/02/06,TX,外資,61518,190599041,62930,195003859,-1412,-4404818,31697,97669245,23782,73271671,7915,24397574
2023/02/06,TE,投信,0,0,0,0,0,0,142,411488,0,0,142,411488
2023/02/06,TX,投信,57,175664,487,1500855,-430,-1325191,9999,30810919,16419,50593507,-6420,-19782588
2023/02/06,TE,自營商,271,790856,315,918464,-44,-127607,315,912544,281,814114,34,98430
2023/02/06,TE,外資,926,2697683,926,2698718,0,-1035,918,2660141,571,1654644,347,1005497
2023/02/06,MTX,自營商,10835,8384432,10105,7810316,730,574116,7631,5867677,2769,2125119,4862,3742558
2023/02/06,MTX,投信,2,1542,1,770,1,772,93,71643,15,11555,78,60088
2023/02/06,MTX,外資,102015,79055475,112284,87002469,-10269,-7946994,3778,2910306,11499,8857391,-7721,-5947085
2023/02/06,NQF,自營商,29,18560,74,46839,-45,-28279,17,10679,659,413951,-642,-403272
2023/02/06,NQF,外資,3301,2098690,3322,2106911,-21,-8221,125,79368,299,187981,-174,-108613
2023/02/06,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/02/07,TX,自營商,8871,27293991,8345,25682130,526,1611861,13039,40131788,7068,21755354,5971,18376434
2023/02/07,TX,外資,45606,140310520,45199,139059023,407,1251498,30821,94907448,23740,73094086,7081,21813362
2023/02/07,TE,自營商,264,763230,228,659392,36,103839,306,884687,258,745956,48,138731
2023/02/07,TX,投信,17,52353,72,221688,-55,-169335,10009,30821715,16484,50760830,-6475,-19939115
2023/02/07,TE,投信,0,0,0,0,0,0,142,410664,0,0,142,410664
2023/02/07,MTX,投信,0,0,0,0,0,0,93,71596,15,11548,78,60048
2023/02/07,MTX,自營商,9102,6995408,9199,7070816,-97,-75408,8587,6599272,3442,2641737,5145,3957535
2023/02/07,MTX,外資,85208,65536362,86098,66206389,-890,-670027,5075,3906905,8722,6713031,-3647,-2806126
2023/02/07,TE,外資,632,1827969,676,1954962,-44,-126992,899,2599873,596,1723632,303,876241
2023/02/07,NQF,自營商,42,26373,31,19456,11,6917,20,12544,651,408307,-631,-395763
2023/02/07,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/02/08,TX,自營商,13935,43209401,14295,44337463,-360,-1128063,13010,40571273,7310,22801446,5700,17769827
2023/02/08,TX,投信,351,1095154,180,561325,171,533829,9852,30746122,16156,50419645,-6304,-19673523
2023/02/07,NQF,外資,1616,1013684,1790,1121570,-174,-107885,115,72906,463,290477,-348,-217571
2023/02/08,TX,外資,57160,177095695,52475,162501497,4685,14594198,35524,110859626,23758,74133883,11766,36725743
2023/02/08,TE,外資,797,2339703,888,2607905,-91,-268202,939,2775841,727,2149157,212,626684
2023/02/08,TE,自營商,499,1464456,415,1216744,84,247712,434,1282356,284,839249,150,443107
2023/02/08,TE,投信,0,0,0,0,0,0,142,419780,0,0,142,419780
2023/02/08,MTX,外資,96418,74634301,84322,65224569,12096,9409732,13465,10505260,4876,3802909,8589,6702351
2023/02/08,MTX,自營商,17160,13291155,13731,10634401,3429,2656754,12633,9835553,4601,3583554,8032,6251999
2023/02/08,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/02/08,MTX,投信,0,0,0,0,0,0,93,72559,15,11703,78,60856
2023/02/08,NQF,自營商,17,10760,9,5676,8,5084,20,12786,643,411070,-623,-398284
2023/02/09,TX,自營商,6886,21437649,6428,20009564,458,1428086,12949,40371227,6542,20397234,6407,19973993
2023/02/08,NQF,外資,2422,1529875,2367,1489898,55,39977,152,98210,445,284575,-293,-186365
2023/02/09,TX,投信,0,0,367,1144666,-367,-1144666,9547,29786640,16218,50600160,-6671,-20813520
2023/02/09,TX,外資,42627,132748274,43643,135912190,-1016,-3163917,33689,105103997,22939,71560450,10750,33543547
2023/02/09,TE,自營商,290,855540,218,642711,72,212829,493,1457011,278,821660,215,635351
2023/02/09,TE,投信,0,0,0,0,0,0,142,419894,0,0,142,419894
2023/02/09,MTX,自營商,9380,7296922,9973,7753059,-593,-456137,10871,8460776,4428,3445644,6443,5015132
2023/02/09,MTX,投信,0,0,0,0,0,0,93,72540,15,11700,78,60840
2023/02/09,TE,外資,574,1691122,659,1942092,-85,-250971,881,2605078,754,2229578,127,375500
2023/02/09,MTX,外資,73004,56833800,80234,62455027,-7230,-5621227,8112,6326802,6753,5265757,1359,1061045
2023/02/09,NQF,自營商,29,18292,33,20774,-4,-2482,17,10711,644,405752,-627,-395041
2023/02/09,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/02/09,NQF,外資,1222,773366,2044,1294133,-822,-520767,46,29277,1161,731488,-1115,-702211
2023/02/10,TX,自營商,12400,38644918,12806,39920803,-406,-1275885,11917,37099506,5885,18318844,6032,18780662
2023/02/10,TX,投信,250,778989,488,1519530,-238,-740541,9430,29378071,16339,50902029,-6909,-21523958
2023/02/10,TE,投信,1,2948,1,2954,0,-5,142,419264,0,0,142,419264
2023/02/10,MTX,自營商,15208,11854420,15253,11888195,-45,-33775,11275,8765267,5001,3885802,6274,4879465
2023/02/10,TE,自營商,383,1129951,406,1199955,-23,-70004,518,1528276,329,971204,189,557072
2023/02/10,MTX,投信,40,31139,32,24913,8,6226,102,79416,16,12445,86,66971
2023/02/10,TX,外資,63401,197714411,62469,194856123,932,2858288,36697,114301924,25015,77911180,11682,36390744
2023/02/10,TE,外資,1076,3177400,912,2694097,164,483303,884,2609751,593,1750886,291,858865
2023/02/10,MTX,外資,93805,73196081,94218,73513006,-413,-316925,8157,6352431,7211,5614791,946,737640
2023/02/10,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/02/10,NQF,自營商,29,18189,46,28743,-17,-10554,17,10541,661,409853,-644,-399312
2023/02/13,TX,自營商,18413,57079972,17256,53491443,1157,3588529,13095,40652732,6354,19719764,6741,20932968
2023/02/10,NQF,外資,1646,1039332,1930,1216997,-284,-177665,38,23780,1437,891093,-1399,-867313
2023/02/13,TE,自營商,601,1761682,640,1876126,-39,-114444,579,1695535,437,1281179,142,414356
2023/02/13,TE,投信,21,61420,21,61528,0,-108,142,416310,0,0,142,416310
2023/02/13,TX,外資,79764,247494446,79179,245718038,585,1776408,38432,119345147,26168,81267818,12264,38077329
2023/02/13,TE,外資,1079,3163796,1044,3061491,35,102304,918,2691338,592,1735295,326,956043
2023/02/13,TX,投信,15270,47298180,15768,48827059,-498,-1528879,9247,28712727,16654,51708428,-7407,-22995701
2023/02/13,MTX,投信,8,6190,8,6197,0,-7,102,79193,16,12416,86,66777
2023/02/13,MTX,自營商,16151,12521818,14061,10898884,2090,1622934,14247,11050327,4091,3166289,10156,7884038
2023/02/13,MTX,外資,98756,76644855,101780,78997162,-3024,-2352307,7155,5555764,9221,7159665,-2066,-1603901
2023/02/13,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/02/13,NQF,自營商,14,8658,49,30164,-35,-21506,17,10468,696,428562,-679,-418094
2023/02/14,TX,外資,68578,214015624,68457,213635287,121,380337,32401,101402114,20022,62667902,12379,38734212
2023/02/14,TX,自營商,14882,46504173,16907,52841883,-2025,-6337710,13091,40962226,8438,26401051,4653,14561175
2023/02/13,NQF,外資,1562,966487,1782,1101373,-220,-134886,71,44141,1690,1040852,-1619,-996711
2023/02/14,TX,投信,10067,31505307,9921,31042517,146,462790,9356,29275296,16617,51994936,-7261,-22719640
2023/02/14,TE,自營商,412,1217306,390,1151612,22,65694,447,1321697,375,1109459,72,212238
2023/02/14,TE,外資,1074,3172540,951,2811554,123,360986,966,2857684,517,1529952,449,1327732
2023/02/14,MTX,自營商,14565,11366680,14324,11184103,241,182577,13062,10209961,2413,1880216,10649,8329745
